2026-06-02T18:52:58.627-03:00  INFO 10348 --- [Vitalis] [restartedMain] com.vitalis.demo.Application             : Starting Application using Java 21.0.11 with PID 10348 (C:\temp\vitalis\target\classes started by felip in C:\temp\vitalis)
2026-06-02T18:52:58.637-03:00 DEBUG 10348 --- [Vitalis] [restartedMain] com.vitalis.demo.Application             : Running with Spring Boot v3.4.0, Spring v6.2.0
2026-06-02T18:52:58.638-03:00  INFO 10348 --- [Vitalis] [restartedMain] com.vitalis.demo.Application             : No active profile set, falling back to 1 default profile: "default"
2026-06-02T18:53:04.214-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Warning Code: 0, SQLState: 00000
2026-06-02T18:53:04.216-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : constraint "uk73dfovi4db18kqyqsys9eoxeh" of relation "tb_client" does not exist, skipping
2026-06-02T18:53:04.228-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Warning Code: 0, SQLState: 00000
2026-06-02T18:53:04.229-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : constraint "ukrg8g1g586akpxfeljdickq93g" of relation "tb_gas_settlement" does not exist, skipping
2026-06-02T18:53:04.235-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Warning Code: 0, SQLState: 00000
2026-06-02T18:53:04.235-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : constraint "ukky6rbh0axwmbamyg6wl4a7imb" of relation "tb_user" does not exist, skipping
2026-06-02T18:53:04.242-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : SQL Warning Code: 0, SQLState: 00000
2026-06-02T18:53:04.243-03:00  WARN 10348 --- [Vitalis] [restartedMain] o.h.engine.jdbc.spi.SqlExceptionHelper   : constraint "ukig8f9fkp6x3vcbjski1u91wds" of relation "tb_user" does not exist, skipping
2026-06-02T18:53:06.787-03:00  WARN 10348 --- [Vitalis] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-02T18:53:08.018-03:00  INFO 10348 --- [Vitalis] [restartedMain] com.vitalis.demo.Application             : Started Application in 10.039 seconds (process running for 11.467)
